,image_path,label
0,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0000.jpg,"alley,house,sky,flower"
1,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0001.webp,"alley,house,people,motorcycle"
2,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0002.jpg,"alley,people,motorcycle,house,sky,sign_board"
3,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0003.JPG,"alley,car,house,sky,tree"
4,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0004.JPG,"alley,sign_board,tree,car,sky,house"
5,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0005.JPG,"alley,tree,house,sky"
6,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0006.JPG,"alley,tree"
7,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0007.JPG,"alley,people,tree,car,motorcycle,sky"
8,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0008.JPG,"alley,house,car,tree,people,motorcycle,sky"
9,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0009.JPG,"alley,motorcycle,sky,flower,house,sign_board,light"
10,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0010.JPG,"alley,sky,people,motorcycle,house,light"
11,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0011.JPG,"alley,motorcycle,house,sign_board,tree"
12,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0012.JPG,"alley,motorcycle,people,sign_board"
13,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0013.JPG,"alley,people,motorcycle,tree"
14,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0014.JPG,"alley,motorcycle,car,people,tree"
15,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0015.JPG,"alley,car,people,sign_board"
16,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0016.JPG,"alley,people,motorcycle,house "
17,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0017.JPG,"alley,sky,tree,house"
18,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0018.JPG,"alley,sky,car,house,light"
19,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0019.jpg,"alley,motorcycle,people"
20,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0020.JPG,"alley,motorcycle,sky,house,car,tree"
21,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0021.JPG,"alley,sky,sun,sign_board,motorcycle,car,tree,house,car"
22,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0022.jpg,alley
23,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0023.jpg,"alley,house"
24,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0024.webp,"alley,motorcycle,house,tree"
25,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0025.jpg,"alley,motorcycle,tree,house,sky"
26,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0026.jpg,"alley,building,house,sky,tree,motorcycle"
27,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0027.jpg,"alley,house,sky,tree"
28,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0028.jpg,"alley,house,tree"
29,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0029.jpg,"alley,house,tree"
30,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0030.jpg,"alley,tree,motorcycle,house"
31,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0031.jpg,"alley,motorcycle,tree,house "
32,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0032.jpg,"alley,motorcycle,car,tree,flower,house,sky"
33,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0033.jpg,"alley,tree,motorcycle"
34,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0034.jpg,"alley,motorcycle,house,tree,sky"
35,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0035.jpg,"alley,people,motorcycle,tree,house,sky"
36,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0036.jpg,"alley,sky,house"
37,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0037.jpg,"alley,house,tree,sky"
38,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0038.jpg,"alley,motorcycle,house"
39,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0039.jpg,"alley,motorcycle,sign_board"
40,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0040.jpg,"alley,car,sky,house"
41,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0041.jpg,"alley,sky,motorcycle,tree,house"
42,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0042.jpg,"alley,motorcycle,tree,house"
43,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0043.jpg,"alley,tree,sky,motorcycle,people,car,house,sky"
44,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0044.jpg,"alley,motorcycle,tree"
45,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0045.jpg,"alley,tree,motorcycle,sign_board,house,sky"
46,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0046.jpg,"alley,motorcycle,people,house "
47,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0047.jpg,"alley,tree,motorcycle,sign_board,house,sky"
48,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0048.jpg,"alley,tree,motorcycle,sign_board,house,sky"
49,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0049.jpg,"alley,tree,motorcycle,sign_board,house "
50,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0050.jpg,"alley,tree,people,sky,house"
51,/content/gdrive/MyDrive/CS114-ML/dataset/alley/IMG_0051.jpg,"alley,sky,people,motorcycle,house,tree"
